X,Y,Council_,Latitude,Longitude,Artist_,Artwork_title_,Location_,Year_,Profile_Page,Profile_Image,ObjectId
-709366.979795498,7054581.91626894,Fingal County Council,53.385265,-6.372352,Emer Mac Diarmada,Hope',"Old Navan Road/Castleknock Road, Castleknock, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/emer-mac-diarmada,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f94580fb68ed75f36b0da58_Hope%20by%20Emer%20Mac%20Diarmada%20-%20Fingal%20-%202020%20(10).jpg,22
-692735.625232002,7067557.82299761,Fingal County Council,53.454731,-6.22295,David Bryne,Two for Joy',"Opposite Lord Mayors Bar, Main Street, Swords, Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/david-bryne,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e24c1d99b89b613d241a6d0_Two%20for%20Joy%20by%20David%20Bryne%203.jpg,23
-709015.766802046,7053694.48027216,Fingal County Council,53.38051,-6.369197,Roisin Mac Diarmada,All along the banks of the Royal Canal',"Park Lodge/Castleknock Road, Castleknock, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/roisin-mac-diarmada,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f95d57188d137a33d687dfa_All%20along%20the%20banks%20of%20the%20Royal%20canal%20by%20Roisin%20Mac%20Diarmada%20%E2%80%93%20Fingal%20-%202020%20(2).jpg,24
-713550.811537473,7054909.29412919,Fingal County Council,53.387019,-6.409936,Sinead O'Connor,Night Sky',"Shelerin Road/ Clonsilla, Dublin 15",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/sinead-oconnor-2,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f95d67b130b6005fa85fa14_Night%20Sky%20by%20Sinead%20O%E2%80%99Conner%20%E2%80%93%20Fingal%20-%202020%202.jpg,25
-682905.557597502,7061577.74699001,Fingal County Council,53.422731,-6.134645,Alexandra Casique,A Reminder',"St. Marnock's National School, Strand Road, Burrow, Portmarnock, Co. Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/alexandra-casique,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f5ee006261457055241d5_A%20Reminder%20by%20Alexandra%20Casique.jpg,26
-701509.048259892,7058109.1242971,Fingal County Council,53.404159,-6.301763,Aoife Flynn Fallon,Inevitable',"St.Margarets Road, Meakstown, County Dublin",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/aoife-flynn-fallon,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f6acb9eee09a8c0609061_Inevitable%20by%20Aoife%20Flynn%20Fallon%203.jpg,27
-680250.587742082,7055352.41426722,Fingal County Council,53.389393,-6.110795,Lorcan Murphy,Electric School of Fish',"Sutton Cross, Burrow, Sutton, Dublin",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/lorcan-murphy-2,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e24a9e8992bfa8fdd2f21c6_Eclectic%20electric%20School%20of%20Fish%20by%20Lorcan%20Murphy%202.jpg,28
-682285.285394802,7055110.50568669,Fingal County Council,53.388097,-6.129073,Daniela Monza,Irish Sea Underwater',"Sutton Road, Dublin Road",2018 - 2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/daniela-monza,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e24c17fcc9ad7047f4b51db_Irish%20Sea%20Underwater%20by%20Daniela%20Monza.jpg,29
-674672.813336394,7054195.015583,Fingal County Council,53.383192,-6.060689,Niall O'Loughlin,Plant Life',"Thormanby Road, Howth, County Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/niall-oloughlin,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b7945cbbd6405f29ed71_Plantlife%20by%20Niall%20O_Lochlainn.jpg,30
-682012.552642358,7056701.33895987,Fingal County Council,53.396619,-6.126623,Marie H Gordan,Wild Dublin',"Warrenhouse Road/Dublin Street, Baldoyle, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/marie-h-gordan,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f94616eda72f5422581b21a_Wild%20Dublin%20by%20Marie%20H%20Gordon%20-%20Fingal%20-%202020%20(29).jpg,31
-707599.00364272,7049521.40726793,Fingal County Council,53.358143,-6.35647,Lisa McHugh,Pink Deer',"Whites Road, Castleknock, Dublin 15.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/lisa-mchugh,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b5ebacccd1b6801793f5_Pink%20Deer%20by%20Lisa%20McHugh%202.jpg,32
